Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1973,Erie,Lake Whitefish,0,0,0,2,2,1,3,
1974,Erie,Lake Whitefish,0,0,0,1,1,0,1,
1975,Erie,Lake Whitefish,0,0,0,1,1,0,1,
1976,Erie,Lake Whitefish,0,0,0,0,0,1,1,
1977,Erie,Lake Whitefish,0,0,0,0,0,5,5,
1978,Erie,Lake Whitefish,0,0,0,1,1,4,5,
1979,Erie,Lake Whitefish,0,0,0,0,0,2,2,
1980,Erie,Lake Whitefish,0,0,0,2,2,2,4,
1981,Erie,Lake Whitefish,0,0,0,2,2,23,25,
1982,Erie,Lake Whitefish,0,0,0,0,0,27,27,
1983,Erie,Lake Whitefish,0,0,0,3,3,25,28,
1984,Erie,Lake Whitefish,0,0,0,1,1,12,13,
1985,Erie,Lake Whitefish,0,0,0,1,1,9,10,
1986,Erie,Lake Whitefish,0,0,0,2,2,18,20,
1987,Erie,Lake Whitefish,0,0,9,7,16,106,122,
1988,Erie,Lake Whitefish,0,0,1,15,16,99,115,
1989,Erie,Lake Whitefish,0,0,12,30,42,92,134,
1990,Erie,Lake Whitefish,0,0,10,114,124,99,223,
1991,Erie,Lake Whitefish,,0,33,299,332,302,634,
1992,Erie,Lake Whitefish,,,46,182,228,416,644,
1993,Erie,Lake Whitefish,,,90,282,372,399,771,
1994,Erie,Lake Whitefish,,0,53,352,405,465,870,
1995,Erie,Lake Whitefish,,0,41,183,224,705,929,
1996,Erie,Lake Whitefish,,,51,0.002,51.002,633,684.002,
1997,Erie,Lake Whitefish,,,27,1.597,28.597,645,673.597,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Lake Whitefish,,,42,3.496,45.496,1139,1184.496,
1999,Erie,Lake Whitefish,,,48,0.67,48.67,1201,1249.67,
2000,Erie,Lake Whitefish,,,41,,41,1309,1350,Canadian data is processor weight
2001,Erie,Lake Whitefish,,,48,,48,1148,1196,Canadian data is processor weight
2002,Erie,Lake Whitefish,,7,0,0.025,7.025,1050,1057.025,Canadian data is landed weight
2003,Erie,Lake Whitefish,,,13,0.093,13.093,599,612.093,Canadian data is landed weight
2004,Erie,Lake Whitefish,,,11,0.091,11.091,617,628.091,Canadian data is landed weight
2005,Erie,Lake Whitefish,,5,1,0.563,6.563,322,328.563,Canadian data is landed weight
2006,Erie,Lake Whitefish,10.693,0,30,0.363,41.056,322,363.056,
2007,Erie,Lake Whitefish,8.8,,42,0.684,51.484,875,926.484,
2008,Erie,Lake Whitefish,,,83,0.389,83.389,954,1037.389,
2009,Erie,Lake Whitefish,9.439,,288,0.211,297.65,816,1113.65,
2010,Erie,Lake Whitefish,0.963,,83,0.166,84.129,600,684.129,
2011,Erie,Lake Whitefish,4.155,,82.805,,86.96,530,616.96,
2012,Erie,Lake Whitefish,6.436,,119.887,,126.323,215,341.323,
2013,Erie,Lake Whitefish,,,63.94,,63.94,93.979,157.919,
2014,Erie,Lake Whitefish,,,34.731,,34.731,113.32,148.051,
2015,Erie,Lake Whitefish,0.267,,51.066,4.025,55.358,68.814,124.172,
2016,Erie,Lake Whitefish,,0.018,24.169,0.031,24.218,31.733,55.951,
2017,Erie,Lake Whitefish,,,0.701,0.012,0.713,30.826,31.539,
2018,Erie,Lake Whitefish,4.1,,4.02,0.028,8.148,44.624,52.772,
2019,Erie,Lake Whitefish,0.198,,31.409,2.286,33.893,81.007,114.9,
2020,Erie,Lake Whitefish,,,30.973,0.003,30.976,160.58,191.556,
1978,Erie,Minnows,0,0,0,0,0,0,0,
1979,Erie,Minnows,0,0,0,0,0,0,0,
1980,Erie,Minnows,0,0,0,0,0,0,0,
1981,Erie,Minnows,0,0,0,0,0,0,0,
1982,Erie,Minnows,0,0,0,0,0,0,0,
1983,Erie,Minnows,0,0,0,0,0,0,0,
1984,Erie,Minnows,0,0,0,0,0,0,0,
1985,Erie,Minnows,0,0,0,0,0,0,0,
1986,Erie,Minnows,0,0,0,0,0,0,0,
1987,Erie,Minnows,0,0,0,0,0,0,0,
1988,Erie,Minnows,0,0,0,0,0,0,0,
1989,Erie,Minnows,0,0,0,0,0,0,0,
1990,Erie,Minnows,0,0,0,0,0,0,0,
1991,Erie,Minnows,0,0,0,4,4,0,4,
1992,Erie,Minnows,0,0,0,1,1,0,1,
1993,Erie,Minnows,0,0,0,5,5,0,5,
1994,Erie,Minnows,0,0,0,8,8,0,8,
1995,Erie,Minnows,0,0,0,0,0,0,0,
1996,Erie,Minnows,0,0,0,3.954,3.954,0,3.954,
1997,Erie,Minnows,0,0,0,5.105,5,0,5,
1998,Erie,Minnows,0,0,0,3.551,4,0,4,
1999,Erie,Minnows,0,0,0,1.8,2,0,2,
2000,Erie,Minnows,,,,10.18,10.18,,10.18,
2001,Erie,Minnows,,,,5.294,5.294,,5.294,
2002,Erie,Minnows,,,1,0.688,1.688,,1.688,
2003,Erie,Minnows,,,,6.643,6.643,,6.643,
2004,Erie,Minnows,,,,2.258,2.258,,2.258,
2005,Erie,Minnows,,,2,2.119,4.119,322,326.119,
2006,Erie,Minnows,,,,6.78,6.78,,6.78,
2007,Erie,Minnows,,,,6.713,6.713,,6.713,
2008,Erie,Minnows,,,,10.626,10.626,,10.626,
2009,Erie,Minnows,,,,13.622,13.622,,13.622,
2010,Erie,Minnows,,,,17.674,17.674,,17.674,
2011,Erie,Minnows,,,,13.242,13.242,,13.242,
2012,Erie,Minnows,,,,19.574,19.574,,19.574,
2013,Erie,Minnows,,,,23.742,23.742,,23.742,
2014,Erie,Minnows,,,,33.724,33.724,,33.724,
2015,Erie,Minnows,,,,21.543,21.543,,21.543,
2016,Erie,Minnows,,,,12.893,12.893,,12.893,
2017,Erie,Minnows,,,,12.909,12.909,,12.909,
2018,Erie,Minnows,,,,13.686,13.686,,13.686,
2019,Erie,Minnows,,,,9.94,9.94,,9.94,
2020,Erie,Minnows,,,,5.973,5.973,,5.973,
1869,Erie,Northern Pike,,,,,,1,1,
1870,Erie,Northern Pike,,,,,,1,1,
1871,Erie,Northern Pike,,,,,,2,2,
1872,Erie,Northern Pike,,,,,,38,38,
1873,Erie,Northern Pike,,,,,,16,16,
1874,Erie,Northern Pike,,,,,,20,20,
1875,Erie,Northern Pike,,,,,,14,14,
1876,Erie,Northern Pike,,,,,,8,8,
1877,Erie,Northern Pike,,,,,,11,11,
1878,Erie,Northern Pike,,,,,,13,13,
1879,Erie,Northern Pike,,,,,,12,12,
1880,Erie,Northern Pike,,,,,,19,19,
1881,Erie,Northern Pike,,,,,,51,51,
1882,Erie,Northern Pike,,,,,,25,25,
1883,Erie,Northern Pike,,,,,,31,31,
1884,Erie,Northern Pike,,,,,,13,13,
1885,Erie,Northern Pike,10,,264,20,294,18,312,
1886,Erie,Northern Pike,,,,,,24,24,
1887,Erie,Northern Pike,,,,,,34,34,
1888,Erie,Northern Pike,,,,,,107,107,
1889,Erie,Northern Pike,,,,,,129,129,
1890,Erie,Northern Pike,,,,,,63,63,
1891,Erie,Northern Pike,,,,,,43,43,
1892,Erie,Northern Pike,,,,,,130,130,
1893,Erie,Northern Pike,,,,,,432,432,
1894,Erie,Northern Pike,,,,,,40,40,
1895,Erie,Northern Pike,,,,,,31,31,
1896,Erie,Northern Pike,,,,,,190,190,
1897,Erie,Northern Pike,,,,,,148,148,
1898,Erie,Northern Pike,,,,,,145,145,
1899,Erie,Northern Pike,10,,1,9,20,864,884,
1900,Erie,Northern Pike,,,,,,822,822,
1901,Erie,Northern Pike,,,,,,1121,1121,
1902,Erie,Northern Pike,,,,,,1074,1074,
1903,Erie,Northern Pike,,,,,,865,865,
1904,Erie,Northern Pike,,,,,,1159,1159,
1905,Erie,Northern Pike,,,,,,936,936,
1906,Erie,Northern Pike,,,,,,1387,1387,
1908,Erie,Northern Pike,338,2,1118,8,1466,1408,2874,
1909,Erie,Northern Pike,,,,,,2703,2703,
1910,Erie,Northern Pike,,,,,,2156,2156,
1911,Erie,Northern Pike,,,,,,1099,1099,
1912,Erie,Northern Pike,,,,,,1485,1485,
1913,Erie,Northern Pike,,,,,,2288,2288,
1914,Erie,Northern Pike,,,,,,2927,2927,
1915,Erie,Northern Pike,,,,,,630,630,
1916,Erie,Northern Pike,,,,,,437,437,
1917,Erie,Northern Pike,,,,,,142,142,
1918,Erie,Northern Pike,,,,,,229,229,
1919,Erie,Northern Pike,18,,,,18,727,745,
1920,Erie,Northern Pike,29,,,,29,115,144,
1921,Erie,Northern Pike,30,,,,30,97,127,
1922,Erie,Northern Pike,6,,,,6,144,150,
1923,Erie,Northern Pike,5,,,,5,130,135,
1924,Erie,Northern Pike,7,,,,7,72,79,
1925,Erie,Northern Pike,7,,,,7,29,36,
1926,Erie,Northern Pike,4,,,,4,20,24,
1927,Erie,Northern Pike,15,,,,15,8,23,
1928,Erie,Northern Pike,1,,,,1,15,16,
1929,Erie,Northern Pike,7,,,,7,31,38,
1930,Erie,Northern Pike,8,,,,8,42,50,
1931,Erie,Northern Pike,16,,8,,24,63,87,
1932,Erie,Northern Pike,6,,1,,7,55,62,
1933,Erie,Northern Pike,6,,,,6,85,91,
1934,Erie,Northern Pike,0,,,,0,20,20,
1935,Erie,Northern Pike,2,,,,2,8,10,
1936,Erie,Northern Pike,1,,,,1,2,3,
1937,Erie,Northern Pike,3,,,,3,3,6,
1938,Erie,Northern Pike,3,,,,3,20,23,
1939,Erie,Northern Pike,4,,,,4,97,101,
1940,Erie,Northern Pike,0,,,,0,30,30,MI: Commercial fishing for northern pike prohibited.
1941,Erie,Northern Pike,,,,,0,47,47,MI: Commercial fishing for northern pike prohibited.
1942,Erie,Northern Pike,,,,,0,31,31,MI: Commercial fishing for northern pike prohibited.
1943,Erie,Northern Pike,,,0,,0,32,32,MI: Commercial fishing for northern pike prohibited.
1944,Erie,Northern Pike,,,2,,2,43,45,MI: Commercial fishing for northern pike prohibited.
1945,Erie,Northern Pike,,,1,,1,30,31,MI: Commercial fishing for northern pike prohibited.
1946,Erie,Northern Pike,,0,,,0,33,33,MI: Commercial fishing for northern pike prohibited.
1947,Erie,Northern Pike,2,,0,,2,13,15,MI: Commercial fishing for northern pike prohibited.
1948,Erie,Northern Pike,10,,1,,11,3,14,
1949,Erie,Northern Pike,7,,4,,11,4,15,
1950,Erie,Northern Pike,4,0,2,,6,4,10,
1951,Erie,Northern Pike,4,,0,,4,18,22,
1952,Erie,Northern Pike,2,,1,,3,4,7,
1953,Erie,Northern Pike,8,0,0,,8,2,10,
1954,Erie,Northern Pike,9,,1,,10,3,13,
1955,Erie,Northern Pike,3,,10,,13,1,14,
1956,Erie,Northern Pike,2,,3,,5,41,46,
1957,Erie,Northern Pike,2,,0,,2,1,3,OH: Commercial fishery for northern pike closed.
1958,Erie,Northern Pike,1,,1,,2,1,3,
1959,Erie,Northern Pike,1,,1,,2,1,3,
1960,Erie,Northern Pike,1,,1,,2,0,2,
1961,Erie,Northern Pike,1,,,,1,1,2,
1962,Erie,Northern Pike,0,,,,0,2,2,
1963,Erie,Northern Pike,0,,,,0,2,2,
1964,Erie,Northern Pike,,,,,0,2,2,
1965,Erie,Northern Pike,1,,,,1,,1,
1966,Erie,Northern Pike,,,,,,1,1,
1967,Erie,Northern Pike,,0,,,0,5,5,
1968,Erie,Northern Pike,,,,,,2,2,
1969,Erie,Northern Pike,,0,,,0,1,1,
1970,Erie,Northern Pike,,,,,,1,1,
1971,Erie,Northern Pike,,,,,,2,2,
1972,Erie,Northern Pike,,,,,,2,2,
1973,Erie,Northern Pike,,,,,,13,13,
1974,Erie,Northern Pike,,,,,,15,15,
1975,Erie,Northern Pike,,,,,,13,13,
1976,Erie,Northern Pike,,,,,,24,24,
1977,Erie,Northern Pike,,,,,,70,70,
1978,Erie,Northern Pike,0,0,0,0,0,55,55,
1979,Erie,Northern Pike,0,0,0,0,0,18,18,
1980,Erie,Northern Pike,0,0,0,0,0,21,21,
1981,Erie,Northern Pike,0,0,0,0,0,30,30,
1982,Erie,Northern Pike,0,0,0,0,0,53,53,
1983,Erie,Northern Pike,0,0,0,0,0,16,16,
1984,Erie,Northern Pike,0,0,0,0,0,14,14,
1985,Erie,Northern Pike,0,0,0,0,0,0,0,
1986,Erie,Northern Pike,0,0,0,0,0,0,0,
1987,Erie,Northern Pike,0,0,0,0,0,0,0,
1988,Erie,Northern Pike,0,0,0,0,0,0,0,
1989,Erie,Northern Pike,0,0,0,0,0,0,0,
1990,Erie,Northern Pike,0,0,0,0,0,18,18,
1991,Erie,Northern Pike,,,,,,,,
1992,Erie,Northern Pike,,,,,,,,
1993,Erie,Northern Pike,,,,,,,,
1994,Erie,Northern Pike,,,,,,,,
1995,Erie,Northern Pike,,,,,,,,
1996,Erie,Northern Pike,,,,,,,,
1997,Erie,Northern Pike,0,0,0,0,0,,0,
1998,Erie,Northern Pike,0,0,0,0,0,20,20,
1999,Erie,Northern Pike,0,0,0,0,0,20,20,
2000,Erie,Northern Pike,,,,,,,,
2001,Erie,Northern Pike,,,,,,,,
2002,Erie,Northern Pike,,,,,,,,
2003,Erie,Northern Pike,,,,,,,,
2004,Erie,Northern Pike,,,,,,,,
2005,Erie,Northern Pike,,,,,,,,
2006,Erie,Northern Pike,,,,,,,,
2007,Erie,Northern Pike,,,,,,,,
2008,Erie,Northern Pike,,,,,,,,
2009,Erie,Northern Pike,,,,,,,,
2010,Erie,Northern Pike,,,,,,,,
2011,Erie,Northern Pike,,,,,,,,
2012,Erie,Northern Pike,,,,,,11,11,
2013,Erie,Northern Pike,,,,,,,,
2014,Erie,Northern Pike,,,,,,,,
2015,Erie,Northern Pike,,,,,,,,
2016,Erie,Northern Pike,,,,,,,,
2017,Erie,Northern Pike,,,,,,,,
2018,Erie,Northern Pike,,,,,,,,
2019,Erie,Northern Pike,,,,,,,,
2020,Erie,Northern Pike,,,,,,,,
1969,Erie,Pacific Salmon,,,0,0,0,2,2,
1970,Erie,Pacific Salmon,,,0,0,0,19,19,
1971,Erie,Pacific Salmon,,,0,0,0,4,4,
1972,Erie,Pacific Salmon,,,0,0,0,22,22,
1973,Erie,Pacific Salmon,,,0,0,0,11,11,
1974,Erie,Pacific Salmon,,,0,0,0,5,5,
1975,Erie,Pacific Salmon,,,0,0,0,54,54,
1976,Erie,Pacific Salmon,,,0,0,0,18,18,"ONT: PCB contamination resulted in closure of the fishery, August 1976."
1977,Erie,Pacific Salmon,,,0,0,0,2,2,
1978,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1979,Erie,Pacific Salmon,0,0,0,0,0,21,21,
1980,Erie,Pacific Salmon,0,0,0,0,0,22,22,
1981,Erie,Pacific Salmon,0,0,0,0,0,33,33,
1982,Erie,Pacific Salmon,0,0,0,0,0,37,37,
1983,Erie,Pacific Salmon,0,0,0,0,0,49,49,
1984,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1985,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1986,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1987,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1988,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1989,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1990,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1991,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1992,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1993,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1994,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1995,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1996,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1997,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1998,Erie,Pacific Salmon,0,0,0,0,0,0,0,
1999,Erie,Pacific Salmon,0,0,0,0,0,0,0,
2015,Erie,Pacific Salmon,,,,0,0,,0,
1978,Erie,Quillback,0,0,103,0,103,0,103,
1979,Erie,Quillback,0,0,83,0,83,0,83,
1980,Erie,Quillback,0,0,79,0,79,0,79,
1981,Erie,Quillback,0,0,96,0,96,0,96,
1982,Erie,Quillback,1,0,114,0,115,0,115,
1983,Erie,Quillback,2,0,101,0,103,0,103,
1984,Erie,Quillback,56,0,108,0,164,0,164,
1985,Erie,Quillback,87,0,106,0,193,0,193,
1986,Erie,Quillback,2,0,126,0,128,0,128,
1987,Erie,Quillback,1,0,109,0,110,0,110,
1988,Erie,Quillback,1,0,59,0,60,0,60,
1989,Erie,Quillback,1,0,71,0,72,0,72,
1990,Erie,Quillback,0,0,134,0,134,0,134,
1991,Erie,Quillback,7,0,178,0,185,0,185,
1992,Erie,Quillback,30,0,293,0,323,0,323,
1993,Erie,Quillback,28,0,252,0,280,0,280,
1994,Erie,Quillback,9,0,277,0,286,0,286,
1995,Erie,Quillback,66,0,262,0,328,0,328,
1996,Erie,Quillback,74,0,193,0,267,0,267,
1997,Erie,Quillback,34,0,158,0,192,0,192,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Quillback,23,0,227,0,250,0,250,
1999,Erie,Quillback,0,0,171,0,171,0,171,
2000,Erie,Quillback,,,140,,140,,140,
2001,Erie,Quillback,0.31,,150,,150.31,,150.31,
2002,Erie,Quillback,1.3,170,,,171.3,,171.3,
2003,Erie,Quillback,2.15,,227,,229.15,,229.15,
2004,Erie,Quillback,3.4,,191,,194.4,,194.4,
2005,Erie,Quillback,1.6,264,,,265.6,61,326.6,
2006,Erie,Quillback,5.03,,250,,255.03,,255.03,
2007,Erie,Quillback,9.9,,211,,220.9,,220.9,
2008,Erie,Quillback,2.257,,197,,199.257,,199.257,
2009,Erie,Quillback,3.9,,211,,214.9,,214.9,
2010,Erie,Quillback,107.037,,183,,290.037,15,305.037,
2011,Erie,Quillback,84.727,,181.3,,266.027,17,283.027,
2012,Erie,Quillback,92.415,,138.053,,230.468,23,253.468,
2013,Erie,Quillback,139.048,,145.327,,284.375,,284.375,
2014,Erie,Quillback,70.18,,132.892,,203.072,9,212.072,
2015,Erie,Quillback,76.203,,129.521,,205.724,24,229.724,
2016,Erie,Quillback,69.213,,101.763,,170.976,,170.976,
2017,Erie,Quillback,25.281,,96.948,,122.229,,122.229,
2018,Erie,Quillback,11.335,,79.428,,90.763,,90.763,
2019,Erie,Quillback,13.288,,117.077,,130.365,,130.365,
2020,Erie,Quillback,13.152,,124.502,,137.654,,137.654,
1952,Erie,Rainbow Smelt,0,0,0,1,1,374,375,
1953,Erie,Rainbow Smelt,0,0,0,0,0,1030,1030,
1954,Erie,Rainbow Smelt,0,0,0,0,0,1266,1266,
1955,Erie,Rainbow Smelt,,0,,0,0,2040,2040,
1956,Erie,Rainbow Smelt,,0,0,,0,3694,3694,
1957,Erie,Rainbow Smelt,,2,,,2,4473,4475,
1958,Erie,Rainbow Smelt,,0,,1,1,4656,4657,
1959,Erie,Rainbow Smelt,,2,11,2,15,6843,6858,
1960,Erie,Rainbow Smelt,,0,28,1,29,11467,11496,
1961,Erie,Rainbow Smelt,0,1,15,1,17,12835,12852,
1962,Erie,Rainbow Smelt,,0,0,74,74,19108,19182,
1963,Erie,Rainbow Smelt,,0,0,306,306,10524,10830,
1964,Erie,Rainbow Smelt,,0,1,445,446,12735,13181,
1965,Erie,Rainbow Smelt,,,2,0,2,11711,11713,
1966,Erie,Rainbow Smelt,,,9,0,9,15914,15923,
1967,Erie,Rainbow Smelt,,0,0,3,3,12501,12504,
1968,Erie,Rainbow Smelt,,0,0,1,1,12223,12224,
1969,Erie,Rainbow Smelt,,0,1,1,2,15076,15078,
1970,Erie,Rainbow Smelt,,,0,2,2,9402,9404,
1971,Erie,Rainbow Smelt,,0,1,1,2,13130,13132,
1972,Erie,Rainbow Smelt,,0,1,1,2,10519,10521,
1973,Erie,Rainbow Smelt,,,,0,0,17062,17062,
1974,Erie,Rainbow Smelt,,,5,1,6,15800,15806,
1975,Erie,Rainbow Smelt,,2,9,2,13,16921,16934,
1976,Erie,Rainbow Smelt,,1,35,3,39,17190,17229,
1977,Erie,Rainbow Smelt,,1,1,1,3,22994,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.
1978,Erie,Rainbow Smelt,0,1,14,6,21,26609,26630,
1979,Erie,Rainbow Smelt,0,1,0,2,3,23857,23860,
1980,Erie,Rainbow Smelt,0,0,0,6,6,25103,25109,
1981,Erie,Rainbow Smelt,0,1,0,17,18,30308,30326,
1982,Erie,Rainbow Smelt,0,1,0,18,19,43547,43566,
1983,Erie,Rainbow Smelt,0,0,0,6,6,29488,29494,
1984,Erie,Rainbow Smelt,0,0,18,2,20,16465,16485,
1985,Erie,Rainbow Smelt,0,0,5,3,8,25470,25478,
1986,Erie,Rainbow Smelt,0,0,0,1,1,17462,17463,
1987,Erie,Rainbow Smelt,0,0,0,0,0,25561,25561,
1988,Erie,Rainbow Smelt,0,0,0,0,0,20404,20404,
1989,Erie,Rainbow Smelt,0,0,0,0,0,16156,16156,
1990,Erie,Rainbow Smelt,0,0,0,0,0,17835,17835,
1991,Erie,Rainbow Smelt,0,0,0,0,0,20221,20221,
1992,Erie,Rainbow Smelt,0,0,0,0,0,12711,12711,
1993,Erie,Rainbow Smelt,0,0,0,0,0,17505,17505,
1994,Erie,Rainbow Smelt,0,0,0,0,0,10593,10593,
1995,Erie,Rainbow Smelt,0,0,0,0,0,12121,12121,
1996,Erie,Rainbow Smelt,0,0,0,0,0,8745,8745,
1997,Erie,Rainbow Smelt,0,0,0,0,0,13062,13062,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Rainbow Smelt,0,0,0,0,0,14190,14190,
1999,Erie,Rainbow Smelt,0,0,0,0,0,12521,12521,
2000,Erie,Rainbow Smelt,,,,,,7162,7162,Canadian data is processor weight
2001,Erie,Rainbow Smelt,,,,,,9345,9345,Canadian data is processor weight
2002,Erie,Rainbow Smelt,,,,,,7480,7480,Canadian data is landed weight
2003,Erie,Rainbow Smelt,,,,,,7395,7395,Canadian data is landed weight
2004,Erie,Rainbow Smelt,,,,,,12967,12967,Canadian data is landed weight
2005,Erie,Rainbow Smelt,,,,,,6881,6881,Canadian data is landed weight
2006,Erie,Rainbow Smelt,,,,,,1847,1847,
2007,Erie,Rainbow Smelt,,,,1,,9884,9884,
2008,Erie,Rainbow Smelt,,,,0,0,8219,8219,
2009,Erie,Rainbow Smelt,,,,1,1,8067,8068,
2010,Erie,Rainbow Smelt,,,,1,1,3254,3255,
2011,Erie,Rainbow Smelt,,,,0,0,5910,5910,
2012,Erie,Rainbow Smelt,,,,0,0,7452,7452,
2013,Erie,Rainbow Smelt,,,,,,6935.315,6935.315,
2014,Erie,Rainbow Smelt,,,,,,6051.15,6051.15,
2015,Erie,Rainbow Smelt,,,,,,8333.046,8333.046,
2016,Erie,Rainbow Smelt,,,,,,10738.667,10738.667,
2017,Erie,Rainbow Smelt,,,,,,7897.633,7897.633,
2018,Erie,Rainbow Smelt,,,,,,2557.833,2557.833,
2019,Erie,Rainbow Smelt,,,,,,1325.053,1325.053,
2020,Erie,Rainbow Smelt,,,,,,5477.695,5477.695,
1978,Erie,Rock Bass,0,0,0,0,0,27,27,
1979,Erie,Rock Bass,0,0,0,0,0,48,48,
1980,Erie,Rock Bass,0,0,0,0,0,52,52,
1981,Erie,Rock Bass,0,0,0,0,0,31,31,
1982,Erie,Rock Bass,0,0,0,0,0,29,29,
1983,Erie,Rock Bass,0,0,0,0,0,45,45,
1984,Erie,Rock Bass,0,0,0,0,0,27,27,
1985,Erie,Rock Bass,0,1,0,0,1,2,3,
1986,Erie,Rock Bass,0,1,0,0,1,0,1,
1987,Erie,Rock Bass,0,3,0,0,3,2,5,
1988,Erie,Rock Bass,0,1,0,0,1,1,2,
1989,Erie,Rock Bass,0,1,0,0,1,2,3,
1990,Erie,Rock Bass,0,0,1,0,1,2,3,
1991,Erie,Rock Bass,0,1,0,0,1,2,3,
1992,Erie,Rock Bass,0,1,0,0,1,3,4,
1993,Erie,Rock Bass,0,3,0,0,3,1,4,
1994,Erie,Rock Bass,0,2,0,0,2,1,3,
1995,Erie,Rock Bass,0,3,0,0,3,1,4,
1996,Erie,Rock Bass,0,2,0,2,4,0,4,
1997,Erie,Rock Bass,0,1,0,0,1,1,2,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Rock Bass,0,0,0,0,0,11,11,
1999,Erie,Rock Bass,0,1,0,0,1,12,13,
2000,Erie,Rock Bass,,0,,,0,0,0,Canadian data is processor weight
2001,Erie,Rock Bass,,0,,,0,0,0,Canadian data is processor weight
2002,Erie,Rock Bass,,,,1,1,0,1,Canadian data is landed weight
2003,Erie,Rock Bass,,0,,,0,0,0,Canadian data is landed weight
2004,Erie,Rock Bass,,0,,,0,0,0,Canadian data is landed weight
2005,Erie,Rock Bass,,,,0,0,0,0,Canadian data is landed weight
2006,Erie,Rock Bass,,0,,,0,0,0,
2007,Erie,Rock Bass,,0,,0,0,0,0,
2008,Erie,Rock Bass,,0,,0,0,0,0,
2009,Erie,Rock Bass,,0,,0,0,0,0,
2010,Erie,Rock Bass,,0,,0,0,0,0,
2011,Erie,Rock Bass,,0,,0,0,0,0,
2012,Erie,Rock Bass,,0,,0,0,5,5,
2013,Erie,Rock Bass,,0,,,0,0.038,0.038,
2014,Erie,Rock Bass,,0,,,0,0.043,0.043,
2015,Erie,Rock Bass,,0,,,0,0.013,0.013,
2016,Erie,Rock Bass,,,,,,0.027,0.027,
2017,Erie,Rock Bass,,,,,,0.037,0.037,
2018,Erie,Rock Bass,,,,,,0.029,0.029,
2019,Erie,Rock Bass,,,,,,0.031,0.031,
2020,Erie,Rock Bass,,,,,,0.011,0.011,
2019,Erie,Round Whitefish,1.485,,,,1.485,,1.485,
1885,Erie,Sauger,91,73,5275,30,5469,,5469,
1886,Erie,Sauger,,,,,,,,
1887,Erie,Sauger,,,,,,,,
1888,Erie,Sauger,,,,,,,,
1889,Erie,Sauger,,,,,,,,
1890,Erie,Sauger,306,,3843,31,4180,,4180,
1891,Erie,Sauger,20,,,,,,,
1892,Erie,Sauger,101,,,,,,,
1893,Erie,Sauger,37,,,,,,,
1894,Erie,Sauger,57,,,,,,,
1895,Erie,Sauger,75,,,,,,,
1896,Erie,Sauger,113,,,,,,,
1897,Erie,Sauger,102,,4806,,4908,,4908,
1898,Erie,Sauger,116,,,,,,,
1899,Erie,Sauger,85,9,2962,11,3067,,3067,
1900,Erie,Sauger,208,,,,,,,
1901,Erie,Sauger,169,,,,,,,
1902,Erie,Sauger,125,,,,,,,
1903,Erie,Sauger,142,7,1858,7,2014,,2014,
1904,Erie,Sauger,93,,,,,,,
1905,Erie,Sauger,151,,,,,,,
1906,Erie,Sauger,205,,,,,,,
1907,Erie,Sauger,111,,,,,,,
1908,Erie,Sauger,140,40,2358,19,2557,,2557,
1909,Erie,Sauger,,,,,,,,
1910,Erie,Sauger,,,,,,,,
1911,Erie,Sauger,,,,,,,,
1912,Erie,Sauger,,,,,,,,
1913,Erie,Sauger,,,1248,,1248,,1248,OH: Records cover only part of season.
1914,Erie,Sauger,,,4561,,4561,,4561,
1915,Erie,Sauger,,,4523,,4523,,4523,
1916,Erie,Sauger,,,6181,,6181,,6181,
1917,Erie,Sauger,,,4334,,4334,,4334,
1918,Erie,Sauger,,,2095,,2095,,2095,
1919,Erie,Sauger,,,2652,,2652,,2652,
1920,Erie,Sauger,,,2926,,2926,,2926,
1921,Erie,Sauger,,,5004,,5004,,5004,
1922,Erie,Sauger,,,3409,,3409,,3409,
1923,Erie,Sauger,,,3312,,3312,,3312,
1924,Erie,Sauger,,,1829,,1829,,1829,
1925,Erie,Sauger,,,2119,,2119,,2119,
1926,Erie,Sauger,6,,1545,,1551,,1551,
1927,Erie,Sauger,24,,1144,,1168,,1168,
